r,station,seed,window,mean_res_pair,std_res_pair,frac_res_lt_1e-3,mean_n_unique_joint,std_n_unique_joint,mean_max_mult,std_max_mult,mean_sparsity,std_sparsity,mean_alph_prod,std_alph_prod,mean_fill_frac,std_fill_frac,mean_H_joint,std_H_joint,mean_TC,std_TC,mean_TC_pair,std_TC_pair,mean_Res_TC,std_Res_TC,mean_ipf_iters,std_ipf_iters,mean_ipf_dev,std_ipf_dev,mean_mean_k_i,std_mean_k_i,frac_res_lt_1e-2,n_windows,full_res_pair,full_n_unique_joint,full_max_mult,full_sparsity,full_alph_prod,full_fill_frac,full_H_joint,full_TC,full_TC_pair,full_Res_TC,full_ipf_iters,full_ipf_dev,full_mean_k_i
3.3,S_k_p2,3,52,0.18243340071735684,0.0699070382658468,0.0,26.659259259259258,1.7977886126426543,4.355555555555555,0.660714166547489,0.5126780626780627,0.03457285793543565,256.0,0.0,0.10413773148148148,0.0070226117681353685,4.560066484250944,0.11026640941823926,3.4004196813344945,0.11145229245237435,3.217886433189019,0.08951789140639665,0.18253324814547536,0.0698583080083071,33.77037037037037,40.212388130053725,8.591096934439257e-06,3.675645513384129e-05,4.0,0.0,0.0,135.0,0.007030640947179695,32.0,35.0,0.04,256.0,0.125,4.9830398940109255,3.015084210707885,3.0080535697607553,0.007030640947129463,7.0,1.4406059678506722e-11,4.0
3.3,S_k_p2,3,104,0.07784489473590854,0.038231167024095694,0.0,31.181818181818183,0.7959954870644665,6.924242424242424,0.9894995071064058,0.29982517482517484,0.007653802760235269,256.0,0.0,0.12180397727272728,0.0031093573713455724,4.799120074414445,0.055060199497461854,3.1829555806386285,0.05715048274351227,3.105110685879217,0.03708642355224916,0.07784489475941174,0.03823116702040797,15.045454545454545,3.7716318234379993,5.278759584330594e-11,2.3878849206131073e-11,4.0,0.0,0.0,66.0,0.007030640947179695,32.0,35.0,0.04,256.0,0.125,4.9830398940109255,3.015084210707885,3.0080535697607553,0.007030640947129463,7.0,1.4406059678506722e-11,4.0
3.45,S_k_p4,0,13,0.11206678482960737,0.17638474872583038,0.4375,10.821428571428571,1.4833256898067992,2.09375,0.49565635597083363,0.8324175824175825,0.11410197613898455,256.0,0.0,0.042271205357142856,0.0057942409758078095,3.352404102549855,0.25332455011483856,4.4773246984357895,0.2599590310166958,4.35844393205542,0.34621615695815355,0.11888076638037,0.17636828460618922,189.75,43.10897735473933,0.0002755132423354995,0.00016254051185320175,4.0,0.0,0.6294642857142857,224.0,0.005489319186442793,32.0,37.0,0.04,256.0,0.125,4.97454653412874,3.023234736792597,3.017745417603212,0.005489319189385,8.0,7.853848127403751e-11,4.0
3.45,S_k_p4,0,26,0.22673693247376162,0.13451743980952977,0.009009009009009009,17.96846846846847,2.1673033845582106,2.9594594594594597,0.6865343673448939,0.691094941094941,0.08335782248300809,256.0,0.0,0.07018932995495496,0.00846602884593051,4.028308325210214,0.21245665857631868,3.90111532899609,0.20999900564692509,3.6708958368400073,0.2870948268477398,0.23021949215608348,0.1325598509155001,164.4009009009009,68.87628679067463,0.00016656841334393427,0.0001073187918564857,4.0,0.0,0.04954954954954955,222.0,0.005489319186442793,32.0,37.0,0.04,256.0,0.125,4.97454653412874,3.023234736792597,3.017745417603212,0.005489319189385,8.0,7.853848127403751e-11,4.0
3.45,S_k_p4,0,52,0.16004849639072788,0.050652777248063593,0.0,25.637037037037036,2.1657516269737327,4.57037037037037,0.9928689499197151,0.4930199430199431,0.04164906974949485,256.0,0.0,0.10014467592592592,0.008459967292866143,4.490108268304559,0.15387184386879169,3.477983359928724,0.15188454900833287,3.3175820457162692,0.15484211648761298,0.1604013142124549,0.05047836555319319,57.44444444444444,63.95851278778057,2.6377666515415554e-05,6.0803563427317145e-05,4.0,0.0,0.0,135.0,0.005489319186442793,32.0,37.0,0.04,256.0,0.125,4.97454653412874,3.023234736792597,3.017745417603212,0.005489319189385,8.0,7.853848127403751e-11,4.0
3.45,S_k_p4,0,104,0.0693026215054508,0.0280450158373967,0.0,30.545454545454547,1.2208022471808293,7.46969696969697,1.2699283798666827,0.2937062937062937,0.01173848314596952,256.0,0.0,0.11931818181818182,0.0047687587780501145,4.751513447734313,0.08613469590797686,3.2316956292486485,0.08505746451071845,3.162362706617002,0.07512958803288187,0.06933292263164632,0.028010570854911414,21.606060606060606,23.94367050409039,2.296983902304443e-06,1.851843603989659e-05,4.0,0.0,0.015151515151515152,66.0,0.005489319186442793,32.0,37.0,0.04,256.0,0.125,4.97454653412874,3.023234736792597,3.017745417603212,0.005489319189385,8.0,7.853848127403751e-11,4.0
3.45,S_k_p4,1,13,0.10079332975488532,0.16258769442971843,0.49107142857142855,10.714285714285714,1.5522367008643378,2.049107142857143,0.544697743136091,0.8241758241758242,0.11940282314341061,256.0,0.0,0.04185267857142857,0.00606342461275132,3.3362841334653632,0.2678911825540514,4.506899686682273,0.2826449376980994,4.400467575438996,0.3715086235985667,0.10643211124327569,0.1630389586373151,181.12053571428572,57.23891601747772,0.00024481518783850826,0.00015717009091370467,4.0,0.0,0.6517857142857143,224.0,0.0032221521103939716,32.0,41.0,0.04,256.0,0.125,4.957182442055115,3.040796673239158,3.037574521128775,0.003222152110383014,9.0,8.27285462356997e-12,4.0
3.45,S_k_p4,1,26,0.19167691917222454,0.13400174162043973,0.03153153153153153,17.684684684684683,2.3171199192955187,3.063063063063063,0.8029145027496718,0.6801801801801802,0.08911999689598149,256.0,0.0,0.06908079954954954,0.00905124968474812,3.991336220552776,0.24957932653476933,3.9496954817185226,0.24703282507997493,3.7538434076844442,0.32420966203670093,0.19585207403407923,0.1319676314830869,171.54504504504504,63.69115547907128,0.00018166614194609196,0.00010113274479514555,4.0,0.0,0.06756756756756757,222.0,0.0032221521103939716,32.0,41.0,0.04,256.0,0.125,4.957182442055115,3.040796673239158,3.037574521128775,0.003222152110383014,9.0,8.27285462356997e-12,4.0
3.45,S_k_p4,1,52,0.13898739636706606,0.05628948650804244,0.0,25.585185185185185,2.489638335136355,4.807407407407408,0.9925373118934551,0.4920227920227921,0.04787766029108374,256.0,0.0,0.09994212962962963,0.009725149746626386,4.4646295169411685,0.18508847131522274,3.5085029858491805,0.1853763517619242,3.368850703009859,0.18738084027007543,0.13965228283932238,0.05574431153154788,70.04444444444445,73.26904926534063,4.117961290108943e-05,7.568587154288355e-05,4.0,0.0,0.0,135.0,0.0032221521103939716,32.0,41.0,0.04,256.0,0.125,4.957182442055115,3.040796673239158,3.037574521128775,0.003222152110383014,9.0,8.27285462356997e-12,4.0
3.45,S_k_p4,1,104,0.06998329764056269,0.03223332125368012,0.0,30.560606060606062,1.268843279942081,7.818181818181818,1.3585764709975694,0.2938519813519813,0.012200416153289246,256.0,0.0,0.11937736742424243,0.004956419062273754,4.7279169088339765,0.0924840621971932,3.259370018719187,0.09391207367582925,3.1893867210218545,0.08591431530249267,0.06998329769733311,0.03223332124305363,21.28787878787879,11.571602062304853,6.230548316334422e-11,1.9707261915703993e-11,4.0,0.0,0.015151515151515152,66.0,0.0032221521103939716,32.0,41.0,0.04,256.0,0.125,4.957182442055115,3.040796673239158,3.037574521128775,0.003222152110383014,9.0,8.27285462356997e-12,4.0
