r,seed,station,mean_excess3,std_excess3,highL3,mean_res_pair,std_res_pair,mean_phi1,mean_phi2,mean_abs_tau,std_abs_tau,mean_tau,var_classical,ac1_classical,lam_regime,f3_share,alpha3
3.48,44800,S_k_p4,1.8346642540453786,0.10582245412768052,0.7547770700636943,0.07349338564341121,0.13642367028356103,0.17424931756141945,0.26878980891719745,0.16802215659619682,0.05129375861313786,-0.16801043766308849,0.03832585459006103,-0.9986897505558281,0.0,0.6918159377170958,1.0
3.48,44817,S_k_p4,2.3690448845897025,0.08039118655797797,0.9922656960873522,0.00015675645997917218,0.002548081485291123,0.984228086138914,0.979905975128905,0.8013758027469179,0.05678608383917705,0.8013758027469179,0.04334113188366853,-0.9757712755098398,0.0,0.3361439298802011,1.0
3.48,44834,S_k_p4,1.8724757529938545,0.1438470381259417,0.7711555959963603,0.06730040284270415,0.14301416066161202,0.27797998180163785,0.3381255686988171,0.05737589649838279,0.04305097028942963,0.02386756043063173,0.039790125713696646,-0.9979505207725975,0.0,0.6174792384607205,1.0
3.48,44851,S_k_p4,2.373148238620598,0.05450097478820412,0.9945404913557779,3.028056439737459e-16,7.287183625152588e-17,0.9920382165605095,0.9874886260236578,0.80820208128252,0.04673572212315609,0.80820208128252,0.04329079092659616,-0.9757473034786246,0.0,0.3344041609299778,1.0
3.48,44868,S_k_p4,2.3808191574216444,0.038224093189243205,0.9945404913557779,3.156661153394262e-16,3.8421656002540276e-17,0.9979526842584168,0.9956778889899909,0.8114091626431663,0.03863021172337653,0.8114091626431663,0.04327526430367795,-0.9742123088294512,0.0,0.3328258221679763,1.0
3.48,44885,S_k_p4,1.882092394585602,0.1493873727906164,0.8089171974522293,0.05784655714291864,0.12372898948375236,0.29390354868061874,0.3506066120715802,0.06457327458241534,0.04773610074549358,0.03134619290926421,0.03977172360617649,-0.9978503189457443,0.0,0.6067783750771193,1.0
3.52,45200,S_k_p4,2.1250011156716755,0.20250989048611284,0.9699727024567789,0.009705065970416645,0.06021244078658529,0.38019411586290563,0.4214930239611768,0.09760308754824294,0.0571879519723568,0.07690354536789638,0.0425909533567443,-0.9906023635758469,0.0,0.5536828818861648,1.0
3.52,45217,S_k_p4,2.1447314342672863,0.1977185682339126,0.9722474977252047,0.008274874200398814,0.046691698495841726,0.4194722474977252,0.4558841370943281,0.11535531805184454,0.05255778040435484,0.09887068547946061,0.042596032038315745,-0.9900427447510922,0.0,0.5318691656999126,1.0
3.52,45234,S_k_p4,2.135695459673851,0.20087221406570846,0.9777070063694268,0.008730559478523484,0.04693440462975565,0.4043069457082196,0.4472323324234152,0.11138259972812074,0.059047871369047135,0.09483937249019515,0.04260708192897469,-0.9900921457042297,0.0,0.5387310493258836,1.0
3.52,45251,S_k_p4,2.1204503331353086,0.20006390195887103,0.9727024567788899,0.01138847840174145,0.04762489564149442,0.40430694570821957,0.4588148316651501,0.11027711370490163,0.05595986508765726,0.08972601134392724,0.04256897546109302,-0.9898885295880082,0.0,0.535372068484559,1.0
3.52,45268,S_k_p4,1.9079116028229954,0.16139011994746977,0.8444040036396724,0.039316706490370626,0.09620407745208516,0.18456172277828328,0.25222550803760996,0.16140095938999044,0.05419528592054839,-0.16138924045688213,0.04143986803961161,-0.9977346462561184,0.0,0.694837720215552,1.0
3.52,45285,S_k_p4,2.1129641753122455,0.20125008147627357,0.9767970882620565,0.008243233468196515,0.043542614800937775,0.3680618744313012,0.40889824082499243,0.09769488585759152,0.05564686445987944,0.07067493242081907,0.0426238588220098,-0.9914851947870563,0.0,0.5614113185415375,1.0
3.54409,45440,S_k_p8,2.3774344742381786,0.04180280890569441,0.9945404913557779,3.0748217901581144e-16,6.2883747969486e-17,0.9963603275705186,0.9929481346678799,0.8240206878232473,0.04960635443242919,0.8240206878232473,0.04573601521302906,-0.925367270219269,0.0,0.33330792101841383,1.0
